school_id,school_name,school_lon,school_lat,nearest_hospital_dist,nearest_clinic_dist,nearest_pharmacy_dist,nearest_any_facility_dist,nearest_facility_type,nearest_facility_name,hospitals_within_5km,clinics_within_5km,total_facilities_within_10km,weighted_access_score,access_risk_category
150,Лицей 1,69.6953382,40.224374,0.007648728137271572,0.09245764969570369,0.06176887064007894,0.007648728137271572,hospital,Беморхона,3,0,31,0.4754364867941589,Medium Risk
151,школа N13. им. ДЖ .Искандарова,70.3814355,40.2504591,0.003777621675973366,0.7406540215764189,0.0037936217468027647,0.003777621675973366,hospital,сельское  Амбулатория,1,0,3,3.140655352756893,Medium Risk
152,РТ СОШ им. А.П.Чехова,69.5826318,40.2812981,0.016608125692393408,0.01201606921091929,0.02328827635836965,0.011432690399181024,dentist,Дента плюс,6,3,37,0.16669194935815695,Low Risk
153,МТУ №26,69.6657314,40.2910883,0.021440885919114038,0.025001860453528965,0.02936620516129612,0.021440885919114038,hospital,Микрохирургия глаза,9,2,40,0.3670223719534035,Medium Risk
154,СШ № 1,69.7958535,40.2641763,0.005300815798201747,0.15757525816209783,0.008061568441609166,0.005300815798201747,hospital,"Оздоровительный Центр ""Заррина""",2,0,7,0.571206703285742,Medium Risk
155,Мактаби №25,69.6449966,40.3261277,0.02008625555130301,0.026037862077715083,0.039259565963309845,0.02008625555130301,hospital,Микрохирургия глаза,4,3,37,0.39665883233660576,Medium Risk
156,Школа №69,70.6115579,40.1137226,0.007571830165638966,0.9868841773317653,0.01337594975494746,0.007571830165638966,hospital,,3,0,7,3.0191875508194395,Medium Risk
157,Школа #12,70.6119009,40.1221539,0.0014486936499541125,0.985663053584496,0.008918804235758868,0.0014486936499541125,hospital,,3,0,7,2.9849869945481524,Medium Risk
158,Лицей №1,70.6228617,40.1274418,0.010313786664980507,0.9955141588324243,0.0025682161163463942,0.0025682161163463942,pharmacy,Дорухона,3,0,8,2.9936156446352062,Medium Risk
159,Школа №24,70.4357591,40.3074058,0.08024177849447163,0.7933371214331016,0.08019540868198681,0.08019540868198681,pharmacy,,0,0,3,3.5323124722727695,Medium Risk
160,мтму 53,69.7548743,40.2456199,0.03645080782115884,0.12497493553588541,0.03644405328039593,0.03644405328039593,pharmacy,,2,0,10,0.6630674853818092,Medium Risk
161,спорт площадка ,69.7547077,40.2456638,0.036297847988296016,0.1248058995447049,0.03657483484660945,0.036297847988296016,hospital,Районная больница,2,0,10,0.6631772843963367,Medium Risk
162,Школа №2,69.6885553,40.2677156,0.03690792425680707,0.056404230739197155,0.03923885629637934,0.03667001645447676,dentist,Стоматология,4,0,41,0.4702313200040853,Medium Risk
163,,71.9364192,38.6455364,0.5356416010338123,0.7415493491768653,0.7921640110727689,0.0006659595497070465,doctors,,0,0,1,7.524203948566499,High Risk
164,,69.6013507,40.2750543,0.01792826663814122,0.01863551049300343,0.005762913768649067,0.005072716891670219,doctors,санэпидем-стансия,9,5,37,0.11586569896062215,Low Risk
180,,72.3984406,38.2960095,0.026219517911928752,0.9029345955784678,0.9041661443228383,0.0003733132802989587,doctors,Doctors Surgery,1,0,5,7.3509590910959055,High Risk
181,Мактаби Миёнаи Умумии №40,68.7547588,38.6642648,0.06686660034303274,0.002768034606407305,0.046278292349819304,0.002768034606407305,clinic,Беморрхона,0,2,100,0.48864137114873735,Medium Risk
182,Мактаби мусиқӣ,69.0152472,38.5620377,0.006752645339195802,0.006878731163892059,0.0006663122224839076,0.0006663122224839076,pharmacy,Дорухона,3,4,12,0.9439670267592444,Medium Risk
183,Мактаби №38,68.8835006,38.537682,0.05977280083183868,0.05923619228978223,0.059358739291615115,0.05801055370437577,doctors,Прием граждан завода,0,0,69,0.5767629588272944,Medium Risk
184,Мактаби миёна (литсейи)-и №53,68.790068,38.5903311,0.0041125593417457775,0.010058129237348713,0.004097302785031763,0.004097302785031763,pharmacy,Дорухона,28,11,189,0.0777010653276484,Low Risk
